station,area,raw_coverage,kept,reason,train_std,test_std
1335A,长沙市,0.9795444112921735,True,ok,32.7786738648455,27.598491855003218
1336A,长沙市,0.9778230433784715,True,ok,32.77450298303645,25.66609831008937
1337A,长沙市,0.9764459490475098,True,ok,33.24780627547057,27.97840471770063
1338A,长沙市,0.9669497360569199,True,ok,31.423465111031057,27.42064488916798
1339A,长沙市,0.9759008492081708,True,ok,31.828353597156774,26.09882141754357
1340A,长沙市,0.9779951801698417,True,ok,32.79018978890191,28.21083174221219
1341A,长沙市,0.9772205646086757,True,ok,32.76790469178525,28.377605601032368
1342A,长沙市,0.9716548083543722,True,ok,29.252889256728647,25.277256418594753
1343A,长沙市,0.9561338076658251,True,ok,31.415945032578666,27.717137582677317
1508A,湘潭市,0.9837330732155153,True,ok,31.53542445086332,28.804727636267007
1511A,湘潭市,0.9807206793665366,True,ok,31.63433864970968,27.272649747186822
1512A,湘潭市,0.973347486802846,True,ok,31.73148061233779,28.087492069624034
1513A,湘潭市,0.9349609823272894,True,ok,31.133810996094574,26.911564528458054
1514A,湘潭市,0.9682120725269681,True,ok,31.437515564435817,28.164664050925463
1515A,株洲市,0.8897176956621529,True,ok,31.07336762290087,27.841801235187827
1518A,株洲市,0.9604085379848519,True,ok,29.191598568797914,25.996748001946916
1519A,株洲市,0.9514287353683727,True,ok,31.34042875285731,27.687050105331156
1520A,株洲市,0.9773640119348176,True,ok,31.917504198369645,29.283954957220853
1524A,株洲市,0.9775648381914162,True,ok,31.18686254154797,29.49835514208878
1562A,湘潭市,0.9641955473949966,True,ok,31.27282742976066,24.557720944848917
