city,keep_frac,seed,station,MAE,RMSE,R2
madrid,1.0,42,CASA DE CAMPO,3.3732430934906006,4.644026103995309,0.4030460119247436
madrid,1.0,42,CASTELLANA,7.304456233978272,12.611292280855444,0.3221374750137329
madrid,1.0,42,CUATRO CAMINOS-PABLO,4.2773756980896,6.520477025186603,0.5501658916473389
madrid,1.0,42,ESCUELAS AGUIRRE,5.618995189666748,7.744781459929037,0.454590380191803
madrid,1.0,42,PLAZA CASTILLA-CANAL,4.537337779998779,6.4879087815463325,0.5247859358787537
madrid,1.0,42,PLAZA ELÍPTICA,5.076117992401123,7.177144958792562,0.493391215801239
madrid,1.0,42,__aggregate__,5.031253814697266,7.923743635163923,0.4647033214569092
madrid,1.0,123,CASA DE CAMPO,3.5331733226776123,4.835908707885816,0.3526968359947204
madrid,1.0,123,CASTELLANA,7.069324970245361,12.376157147801184,0.3471790552139282
madrid,1.0,123,CUATRO CAMINOS-PABLO,4.229600429534912,6.430537931208928,0.5624897480010986
madrid,1.0,123,ESCUELAS AGUIRRE,5.524710178375244,7.573619391899713,0.4784314632415771
madrid,1.0,123,PLAZA CASTILLA-CANAL,4.592643737792969,6.5597670904541925,0.5142009854316711
madrid,1.0,123,PLAZA ELÍPTICA,5.057071208953857,7.125142413941304,0.5007059574127197
madrid,1.0,123,__aggregate__,5.001087188720703,7.842884517505765,0.4755725860595703
madrid,1.0,777,CASA DE CAMPO,3.5873258113861084,4.76072185492453,0.3726683855056762
madrid,1.0,777,CASTELLANA,7.10878849029541,12.38945196114263,0.3457757234573364
madrid,1.0,777,CUATRO CAMINOS-PABLO,4.417498588562012,6.642635552714121,0.5331531763076782
madrid,1.0,777,ESCUELAS AGUIRRE,5.491683006286621,7.576433696977574,0.4780437350273132
madrid,1.0,777,PLAZA CASTILLA-CANAL,4.616559028625488,6.605164686138103,0.5074536204338074
madrid,1.0,777,PLAZA ELÍPTICA,4.783664703369141,6.9576678233821525,0.523901641368866
madrid,1.0,777,__aggregate__,5.000920295715332,7.849917961712418,0.4746316075325012
madrid,0.75,42,CASA DE CAMPO,3.4688305854797363,4.830062724272859,0.3542608618736267
madrid,0.75,42,CASTELLANA,7.433990478515625,12.933169022397957,0.2870938777923584
madrid,0.75,42,CUATRO CAMINOS-PABLO,4.445858478546143,6.77766232140321,0.5139807462692261
