city,station,h_i,n_neighbors,delta_r2_distance,delta_r2_correlation
beijing,Aotizhongxin,0.06273950997836408,5,-0.0115035545977795,-0.0107572765849723
beijing,Changping,0.14331163543072611,5,-0.0164055497152312,-0.0238641690396029
beijing,Dingling,0.13657836302371873,5,-0.0682624185570812,-0.1251939526207692
beijing,Dongsi,0.04733061375793979,5,-0.0126765568570504,-0.0153540312623027
beijing,Guanyuan,0.04542933635705404,5,-0.0207951668143813,-0.0178287948787679
beijing,Gucheng,0.0892344717949829,5,-0.038570592875479,-0.0862373270101963
beijing,Huairou,0.13754614418641853,5,-0.0022873957252436,-0.0704307750236306
beijing,Nongzhanguan,0.057565062782829246,5,-0.0109576257318299,-0.0147497751924885
beijing,Shunyi,0.11175356590833552,5,0.0018657266547595,-0.062926630994001
beijing,Tiantan,0.049244623342374005,5,-0.0114945838653445,-0.0137310826160719
beijing,Wanliu,0.06601671522651953,5,-0.0143491194422423,-0.0269721586551562
beijing,Wanshouxigong,0.06287262741811828,5,-0.0121567500184169,-0.0186689633873682
london,BL0,0.4288970595006424,5,-1.3585936072347198,-0.8422915880758886
london,BT4,0.503383200028591,5,-0.2914648825150073,-0.2389256124647606
london,CT3,0.4214233252533689,5,-1.9116840211617856,-2.220089326819968
london,GN0,0.35895498729490305,5,-0.9373463274720718,-1.037268457153811
london,KC1,0.2792820646142903,5,-0.190205262717695,-0.2154606741631037
london,LH0,0.3677303189639749,5,-0.3346470331217577,-1.1912812933843138
london,RB7,0.4012681020831943,5,-0.2036569723300407,-0.3120687743956578
london,TH4,0.3839758379733108,5,-0.3848060370729717,-0.4127072104083669
madrid,CASA DE CAMPO,0.538265349164022,5,-0.245052338256049,-0.6895884730440872
madrid,CASTELLANA,0.4675131855304404,5,-0.5700142222555276,-0.6027565402152527
madrid,CUATRO CAMINOS-PABLO,0.5303568734797994,5,-0.2780841034935306,-0.3339739872320315
madrid,ESCUELAS AGUIRRE,0.5526390514381899,5,-0.2943226630959284,-0.2533551401947237
madrid,MENDEZ ALVARO,,0,-0.1634768288187603,-0.1403793273567225
madrid,PLAZA CASTILLA-CANAL,0.5625360336839527,5,-0.241888536931463,-0.2898421391658056
madrid,PLAZA ELÍPTICA,0.47830622910370346,5,-0.2431879286705045,-0.481545740818236
