city,keep_frac,seed,station,MAE,RMSE,R2,strategy,draw
beijing,0.25,42,Aotizhongxin,11.913930892944336,21.065638820506148,0.948810338973999,inverse,
beijing,0.25,42,Changping,12.850119590759276,22.031060920066285,0.925460696220398,inverse,
beijing,0.25,42,Dingling,11.324329376220703,20.52540837391587,0.9284518361091614,inverse,
beijing,0.25,42,Dongsi,12.843985557556152,23.846441474486163,0.9447631239891052,inverse,
beijing,0.25,42,Guanyuan,12.3302583694458,21.64508358853547,0.9476898908615112,inverse,
beijing,0.25,42,Gucheng,11.984123229980469,22.830251815282693,0.9478700160980223,inverse,
beijing,0.25,42,Huairou,9.618765830993652,18.951583208363243,0.938539981842041,inverse,
beijing,0.25,42,Nongzhanguan,12.125659942626951,21.78295086167591,0.9511958360671996,inverse,
beijing,0.25,42,Shunyi,12.143035888671877,21.1344550828828,0.9465063810348512,inverse,
beijing,0.25,42,Tiantan,12.028109550476074,20.872421013969007,0.9506602883338928,inverse,
beijing,0.25,42,Wanliu,11.01185131072998,20.6041020725679,0.9485299587249756,inverse,
beijing,0.25,42,Wanshouxigong,12.855125427246094,25.32875635394482,0.9393510818481444,inverse,
beijing,0.25,42,__aggregate__,11.919107437133787,21.777016883757717,0.9446868896484376,inverse,
beijing,0.25,123,Aotizhongxin,11.76658058166504,21.071508818466672,0.9487817883491516,inverse,
beijing,0.25,123,Changping,13.708745956420898,23.571502341943543,0.9146724939346312,inverse,
beijing,0.25,123,Dingling,12.050145149230955,21.270638530062104,0.923162043094635,inverse,
beijing,0.25,123,Dongsi,12.503568649291992,23.67705053776692,0.9455450773239136,inverse,
beijing,0.25,123,Guanyuan,12.09343433380127,21.517512796175904,0.9483046531677246,inverse,
beijing,0.25,123,Gucheng,12.036615371704102,22.71167116978006,0.948410153388977,inverse,
beijing,0.25,123,Huairou,10.301586151123049,19.32861288036227,0.936070203781128,inverse,
beijing,0.25,123,Nongzhanguan,11.828394889831545,21.595002818441948,0.9520344138145448,inverse,
beijing,0.25,123,Shunyi,12.761940956115724,21.610914284475275,0.9440672397613524,inverse,
beijing,0.25,123,Tiantan,11.798730850219728,20.717891991802265,0.9513881206512452,inverse,
beijing,0.25,123,Wanliu,11.203585624694824,20.67399040810775,0.9481801986694336,inverse,
beijing,0.25,123,Wanshouxigong,12.666990280151367,25.323306190657277,0.9393771886825562,inverse,
beijing,0.25,123,__aggregate__,12.060026168823242,21.97797331500692,0.943661332130432,inverse,
beijing,0.25,777,Aotizhongxin,11.73215675354004,20.787617974052637,0.9501526355743408,inverse,
beijing,0.25,777,Changping,13.249604225158691,22.98521678013256,0.918864369392395,inverse,
beijing,0.25,777,Dingling,11.621549606323242,20.90122352924659,0.9258078336715698,inverse,
beijing,0.25,777,Dongsi,12.474690437316896,23.427311587603395,0.9466877579689026,inverse,
beijing,0.25,777,Guanyuan,12.079242706298828,21.4382494914992,0.948684811592102,inverse,
beijing,0.25,777,Gucheng,11.741360664367676,22.457551375195187,0.9495581388473512,inverse,
beijing,0.25,777,Huairou,9.773775100708008,19.1392043477885,0.9373170137405396,inverse,
beijing,0.25,777,Nongzhanguan,11.78161334991455,21.358842777522423,0.9530777335166932,inverse,
beijing,0.25,777,Shunyi,12.17827320098877,20.90690978966344,0.9476520419120787,inverse,
beijing,0.25,777,Tiantan,11.79616641998291,20.529637196452565,0.952267587184906,inverse,
beijing,0.25,777,Wanliu,11.000079154968262,20.51405113441303,0.9489789009094238,inverse,
beijing,0.25,777,Wanshouxigong,12.508338928222656,25.053045530075405,0.940664291381836,inverse,
beijing,0.25,777,__aggregate__,11.82807159423828,21.6787943228173,0.9451847076416016,inverse,
beijing,0.75,42,Aotizhongxin,12.613809585571287,22.18501925502214,0.9432255625724792,inverse,
beijing,0.75,42,Changping,13.00409698486328,22.663853788680505,0.9211172461509703,inverse,
beijing,0.75,42,Dingling,13.648120880126951,26.176138878414275,0.8836340308189392,inverse,
beijing,0.75,42,Dongsi,13.819910049438477,24.231287077608982,0.9429658651351928,inverse,
beijing,0.75,42,Guanyuan,12.39341926574707,22.39303595053675,0.9440122246742249,inverse,
beijing,0.75,42,Gucheng,17.113414764404297,31.602982044754793,0.9001099467277527,inverse,
beijing,0.75,42,Huairou,10.337177276611328,19.381360000745964,0.9357208013534546,inverse,
beijing,0.75,42,Nongzhanguan,13.658446311950684,23.78572816328759,0.9418089389801024,inverse,
beijing,0.75,42,Shunyi,11.988420486450195,20.820969150057746,0.9480815529823304,inverse,
beijing,0.75,42,Tiantan,11.498102188110352,19.800326196314767,0.9555987119674684,inverse,
beijing,0.75,42,Wanliu,13.074933052062988,22.30896344193328,0.9396599531173706,inverse,
beijing,0.75,42,Wanshouxigong,13.85731029510498,27.70243098749977,0.9274510741233826,inverse,
beijing,0.75,42,__aggregate__,13.083930015563965,23.82303864770731,0.9338049292564392,inverse,
beijing,0.75,123,Aotizhongxin,12.97842025756836,23.348510746974046,0.9371143579483032,inverse,
beijing,0.75,123,Changping,13.357769966125488,23.305490212038823,0.91658753156662,inverse,
beijing,0.75,123,Dingling,14.496973991394045,27.707231435640136,0.8696230053901672,inverse,
beijing,0.75,123,Dongsi,13.519886016845703,24.086949834791245,0.9436432719230652,inverse,
beijing,0.75,123,Guanyuan,12.87890625,23.53991426230271,0.9381304383277892,inverse,
beijing,0.75,123,Gucheng,17.221364974975586,31.911192687676216,0.8981521129608154,inverse,
beijing,0.75,123,Huairou,11.252492904663086,20.590763043293908,0.9274484515190125,inverse,
beijing,0.75,123,Nongzhanguan,13.527084350585938,23.737121302600595,0.9420465230941772,inverse,
beijing,0.75,123,Shunyi,12.27573585510254,20.959779278706858,0.9473869800567628,inverse,
beijing,0.75,123,Tiantan,11.881488800048828,20.310046426334033,0.953283190727234,inverse,
beijing,0.75,123,Wanliu,13.686474800109863,23.80818069012073,0.9312774538993835,inverse,
beijing,0.75,123,Wanshouxigong,14.026387214660645,27.298086872068527,0.9295535087585448,inverse,
beijing,0.75,123,__aggregate__,13.425249099731444,24.4265530548341,0.9304085969924928,inverse,
beijing,0.75,777,Aotizhongxin,12.732611656188965,22.43559235775511,0.9419358372688292,inverse,
beijing,0.75,777,Changping,12.879974365234377,22.414580558887543,0.9228429198265076,inverse,
beijing,0.75,777,Dingling,13.987858772277832,26.609637632658703,0.8797478675842285,inverse,
beijing,0.75,777,Dongsi,13.619402885437012,24.098243541737123,0.9435904026031494,inverse,
beijing,0.75,777,Guanyuan,12.491966247558594,22.849942517364788,0.9417042136192322,inverse,
beijing,0.75,777,Gucheng,16.753738403320312,31.212029666435303,0.9025660753250122,inverse,
beijing,0.75,777,Huairou,10.340116500854492,19.39082330176603,0.935658037662506,inverse,
beijing,0.75,777,Nongzhanguan,13.838587760925291,24.02907200183834,0.9406121969223022,inverse,
beijing,0.75,777,Shunyi,12.10707187652588,20.82632198098981,0.948054850101471,inverse,
beijing,0.75,777,Tiantan,11.70878791809082,20.35292401875665,0.9530857801437378,inverse,
beijing,0.75,777,Wanliu,13.200925827026367,22.740641586928813,0.9373021721839904,inverse,
