city,model,station,seed,MAE,RMSE,R2
beijing,Persistence,Aotizhongxin,-,10.904462814331055,20.74202860108628,0.9503710269927979
beijing,Persistence,Changping,-,10.433345794677734,19.965761250562252,0.9387810230255127
beijing,Persistence,Dingling,-,8.582123756408691,17.57524802845521,0.9475412964820862
beijing,Persistence,Dongsi,-,11.52597427368164,23.355473649961855,0.9470142126083374
beijing,Persistence,Guanyuan,-,11.415011405944824,21.395159935189636,0.9488908648490906
beijing,Persistence,Gucheng,-,10.934682846069336,22.52059265440986,0.9492745995521545
beijing,Persistence,Huairou,-,8.73051929473877,19.36287265367264,0.9358434081077576
beijing,Persistence,Nongzhanguan,-,11.109243392944336,21.486200206560635,0.952516496181488
beijing,Persistence,Shunyi,-,10.983574867248535,21.585722605698336,0.9441975355148315
beijing,Persistence,Tiantan,-,11.01928997039795,20.504614333958468,0.9523838758468628
beijing,Persistence,Wanliu,-,10.09969425201416,20.11292354690177,0.9509546756744385
beijing,Persistence,Wanshouxigong,-,11.75,25.263274376583936,0.9396643042564392
beijing,Persistence,__aggregate__,-,10.623992919921875,21.240456266800745,0.9473789930343628
beijing,ARIMA,Aotizhongxin,-,10.632269249583404,19.59677973297499,0.9557001302570002
beijing,ARIMA,Changping,-,10.547259121839776,19.546661814246654,0.9413241098669598
beijing,ARIMA,Dingling,-,8.54865804816257,17.336091055308778,0.9489592368906672
beijing,ARIMA,Dongsi,-,11.177121702770766,22.216391300546455,0.9520565728609932
beijing,ARIMA,Guanyuan,-,11.10043054440883,20.30908197256197,0.9539480702638916
beijing,ARIMA,Gucheng,-,10.76934453358846,21.509110133185697,0.9537287863188728
beijing,ARIMA,Huairou,-,8.598190667720182,18.981545396942423,0.9383454720040064
beijing,ARIMA,Nongzhanguan,-,10.80412017950144,20.384333179474808,0.9572617789814004
beijing,ARIMA,Shunyi,-,10.641213997008665,20.704524879747996,0.94866063524927
beijing,ARIMA,Tiantan,-,10.736078194215184,19.345798249650628,0.957613807367316
beijing,ARIMA,Wanliu,-,9.85141328556734,19.117417612945392,0.9556896297570794
beijing,ARIMA,Wanshouxigong,-,11.478932573133486,24.67648193038581,0.942434585017132
beijing,ARIMA,__aggregate__,-,10.407086008125008,20.388878240065708,0.9515138030061387
beijing,XGBoost,Aotizhongxin,42,10.974281664553535,21.482910404630804,0.9467623028622706
beijing,XGBoost,Changping,42,10.990094221758424,21.435911246551857,0.929433530647644
beijing,XGBoost,Dingling,42,9.118466216794763,17.984783520154956,0.9450680230151174
beijing,XGBoost,Dongsi,42,12.056057857319631,24.32115023460931,0.9425420318646556
beijing,XGBoost,Guanyuan,42,11.42801852905632,21.28432210126618,0.949419060294714
beijing,XGBoost,Gucheng,42,12.22404617084812,25.416516597383332,0.935390249699954
beijing,XGBoost,Huairou,42,8.97044700116625,19.579139408764824,0.9344022355833308
beijing,XGBoost,Nongzhanguan,42,11.178174124909686,21.91299060233861,0.9506113986738236
beijing,XGBoost,Shunyi,42,11.231358170623174,23.72766352962883,0.9325736107799858
