city,station,seed,topology,r2_linear,r2_gcn,delta_r2
beijing,Aotizhongxin,123,distance,0.9521773778695704,0.941277949911235,-0.010899427958335317
beijing,Changping,123,distance,0.9427405060033476,0.9235591146576188,-0.019181391345728827
beijing,Dingling,123,distance,0.9486869492659014,0.8782623646317249,-0.07042458463417645
beijing,Dongsi,123,distance,0.9488911313534936,0.937844207584986,-0.011046923768507577
beijing,Guanyuan,123,distance,0.9509141654136184,0.934341385884011,-0.01657277952960734
beijing,Gucheng,123,distance,0.9510436173892222,0.9099592039205256,-0.04108441346869651
beijing,Huairou,123,distance,0.9397734868920452,0.933258314371671,-0.006515172520374257
beijing,Nongzhanguan,123,distance,0.954878109352706,0.9457721386330966,-0.00910597071960939
beijing,Shunyi,123,distance,0.9485240381798642,0.950562992338395,0.002038954158530837
beijing,Tiantan,123,distance,0.9548591281779244,0.9431997006444316,-0.011659427533492805
beijing,Wanliu,123,distance,0.952148921183066,0.9358194219866784,-0.016329499196387598
beijing,Wanshouxigong,123,distance,0.9420572571296596,0.9300445916959365,-0.012012665433723146
beijing,Aotizhongxin,42,distance,0.9516812708959363,0.9401777162981568,-0.01150355459777952
beijing,Changping,42,distance,0.9424312640052158,0.9260257142899846,-0.016405549715231227
beijing,Dingling,42,distance,0.9479688161484422,0.8797063975913609,-0.06826241855708126
beijing,Dongsi,42,distance,0.948953240451891,0.9362766835948404,-0.012676556857050603
beijing,Guanyuan,42,distance,0.950513786965418,0.9297186201510368,-0.020795166814381205
beijing,Gucheng,42,distance,0.9517708185980877,0.9132002257226084,-0.03857059287547926
beijing,Huairou,42,distance,0.938409963685503,0.9361225679602594,-0.002287395725243613
beijing,Nongzhanguan,42,distance,0.9548772818864216,0.9439196561545916,-0.010957625731830012
beijing,Shunyi,42,distance,0.9478580949292164,0.949723821583976,0.0018657266547595919
beijing,Tiantan,42,distance,0.9544165168550628,0.9429219329897182,-0.011494583865344632
beijing,Wanliu,42,distance,0.9516541450783425,0.9373050256361,-0.014349119442242486
beijing,Wanshouxigong,42,distance,0.9428718730582548,0.930715123039838,-0.012156750018416762
beijing,Aotizhongxin,777,distance,0.9510249980296072,0.9445426383808054,-0.006482359648801728
beijing,Changping,777,distance,0.9402095309158782,0.9234247568531834,-0.01678477406269485
beijing,Dingling,777,distance,0.9453687335195388,0.8903293398457814,-0.05503939367375732
beijing,Dongsi,777,distance,0.9482151790663788,0.928806742484782,-0.019408436581596744
beijing,Guanyuan,777,distance,0.9498149162759276,0.9341849708164688,-0.01562994545945884
beijing,Gucheng,777,distance,0.9507385884466628,0.9064874022886888,-0.044251186157973965
beijing,Huairou,777,distance,0.9366448626388306,0.938715628436569,0.00207076579773835
beijing,Nongzhanguan,777,distance,0.9541486141685508,0.9415048403035085,-0.01264377386504234
beijing,Shunyi,777,distance,0.9471605471470004,0.9457672049951112,-0.001393342151889132
beijing,Tiantan,777,distance,0.9533948099506104,0.9465581379911868,-0.0068366719594236125
beijing,Wanliu,777,distance,0.9504989255056254,0.9411742553510368,-0.009324670154588599
beijing,Wanshouxigong,777,distance,0.9424993767964832,0.9211696283504202,-0.021329748446063057
beijing,Aotizhongxin,123,correlation,0.9521773778695704,0.9395008773805176,-0.012676500489052778
beijing,Changping,123,correlation,0.9427405060033476,0.9199644395301922,-0.022776066473155332
beijing,Dingling,123,correlation,0.9486869492659014,0.8151910670600329,-0.1334958822058685
beijing,Dongsi,123,correlation,0.9488911313534936,0.9334917066823212,-0.01539942467117239
beijing,Guanyuan,123,correlation,0.9509141654136184,0.9336596371476746,-0.017254528265943758
beijing,Gucheng,123,correlation,0.9510436173892222,0.8624950172046834,-0.0885486001845388
beijing,Huairou,123,correlation,0.9397734868920452,0.8591289309435249,-0.08064455594852027
beijing,Nongzhanguan,123,correlation,0.954878109352706,0.9402846905559984,-0.014593418796707613
beijing,Shunyi,123,correlation,0.9485240381798642,0.8829528722039333,-0.06557116597593093
beijing,Tiantan,123,correlation,0.9548591281779244,0.941230843028118,-0.013628285149806407
beijing,Wanliu,123,correlation,0.952148921183066,0.923626577979368,-0.028522343203698064
beijing,Wanshouxigong,123,correlation,0.9420572571296596,0.9239608799525404,-0.018096377177119205
beijing,Aotizhongxin,42,correlation,0.9516812708959363,0.940923994310964,-0.010757276584972386
