city,model,variant,topology,k,keep_frac,seed,checkpoint_id,split_hash,n_stations,station,split,rmse,mae,r2,run_id,config_path,git_commit,timestamp,provenance_note
beijing,Linear-Transformer,,distance,,,123,no_checkpoint_saved,9bc15d5d352eaa4f,12,Nongzhanguan,test,20.945075640795203,11.150765194084475,0.9548781093527059,migrated_06_train_multistation_beijing,06_train_multistation.py,migration_pre_P3,2026-08-15T13:09:01,
beijing,Linear-Transformer,,distance,,,123,no_checkpoint_saved,9bc15d5d352eaa4f,12,Shunyi,test,20.732050521589702,10.956712468144884,0.9485240381798642,migrated_06_train_multistation_beijing,06_train_multistation.py,migration_pre_P3,2026-08-15T13:09:01,
beijing,Linear-Transformer,,distance,,,123,no_checkpoint_saved,9bc15d5d352eaa4f,12,Tiantan,test,19.964545186973062,11.060376337039528,0.9548591281779244,migrated_06_train_multistation_beijing,06_train_multistation.py,migration_pre_P3,2026-08-15T13:09:01,
beijing,Linear-Transformer,,distance,,,123,no_checkpoint_saved,9bc15d5d352eaa4f,12,Wanliu,test,19.866547743448315,10.337798794196512,0.952148921183066,migrated_06_train_multistation_beijing,06_train_multistation.py,migration_pre_P3,2026-08-15T13:09:01,
beijing,Linear-Transformer,,distance,,,123,no_checkpoint_saved,9bc15d5d352eaa4f,12,Wanshouxigong,test,24.757224120604594,11.843081227386234,0.9420572571296596,migrated_06_train_multistation_beijing,06_train_multistation.py,migration_pre_P3,2026-08-15T13:09:01,
beijing,Linear-Transformer,,distance,,,123,no_checkpoint_saved,9bc15d5d352eaa4f,12,__aggregate__,test,20.759520820500377,10.79896164060472,0.9497349513800817,migrated_06_train_multistation_beijing,06_train_multistation.py,migration_pre_P3,2026-08-15T13:09:01,
beijing,Linear-Transformer,,distance,,,777,no_checkpoint_saved,9bc15d5d352eaa4f,12,Aotizhongxin,test,20.604909773184623,12.025202207505211,0.9510249980296073,migrated_06_train_multistation_beijing,06_train_multistation.py,migration_pre_P3,2026-08-15T13:09:01,
beijing,Linear-Transformer,,distance,,,777,no_checkpoint_saved,9bc15d5d352eaa4f,12,Changping,test,19.731437965472924,11.563920562772012,0.9402095309158782,migrated_06_train_multistation_beijing,06_train_multistation.py,migration_pre_P3,2026-08-15T13:09:01,
beijing,Linear-Transformer,,distance,,,777,no_checkpoint_saved,9bc15d5d352eaa4f,12,Dingling,test,17.935489470981974,10.473611859861109,0.9453687335195388,migrated_06_train_multistation_beijing,06_train_multistation.py,migration_pre_P3,2026-08-15T13:09:01,
beijing,Linear-Transformer,,distance,,,777,no_checkpoint_saved,9bc15d5d352eaa4f,12,Dongsi,test,23.089270782637126,12.59107321285745,0.9482151790663788,migrated_06_train_multistation_beijing,06_train_multistation.py,migration_pre_P3,2026-08-15T13:09:01,
beijing,Linear-Transformer,,distance,,,777,no_checkpoint_saved,9bc15d5d352eaa4f,12,Guanyuan,test,21.200870945444738,12.291635940617008,0.9498149162759276,migrated_06_train_multistation_beijing,06_train_multistation.py,migration_pre_P3,2026-08-15T13:09:01,
beijing,Linear-Transformer,,distance,,,777,no_checkpoint_saved,9bc15d5d352eaa4f,12,Gucheng,test,22.19322540528919,11.965261020909784,0.9507385884466629,migrated_06_train_multistation_beijing,06_train_multistation.py,migration_pre_P3,2026-08-15T13:09:01,
beijing,Linear-Transformer,,distance,,,777,no_checkpoint_saved,9bc15d5d352eaa4f,12,Huairou,test,19.241547462261835,10.44663183963109,0.9366448626388306,migrated_06_train_multistation_beijing,06_train_multistation.py,migration_pre_P3,2026-08-15T13:09:01,
beijing,Linear-Transformer,,distance,,,777,no_checkpoint_saved,9bc15d5d352eaa4f,12,Nongzhanguan,test,21.113708534573927,11.927017986574793,0.9541486141685507,migrated_06_train_multistation_beijing,06_train_multistation.py,migration_pre_P3,2026-08-15T13:09:01,
beijing,Linear-Transformer,,distance,,,777,no_checkpoint_saved,9bc15d5d352eaa4f,12,Shunyi,test,21.004830407034287,12.159944994861103,0.9471605471470003,migrated_06_train_multistation_beijing,06_train_multistation.py,migration_pre_P3,2026-08-15T13:09:01,
beijing,Linear-Transformer,,distance,,,777,no_checkpoint_saved,9bc15d5d352eaa4f,12,Tiantan,test,20.28577440075031,11.881962941971956,0.9533948099506103,migrated_06_train_multistation_beijing,06_train_multistation.py,migration_pre_P3,2026-08-15T13:09:01,
beijing,Linear-Transformer,,distance,,,777,no_checkpoint_saved,9bc15d5d352eaa4f,12,Wanliu,test,20.206162976860902,11.563463362053227,0.9504989255056254,migrated_06_train_multistation_beijing,06_train_multistation.py,migration_pre_P3,2026-08-15T13:09:01,
beijing,Linear-Transformer,,distance,,,777,no_checkpoint_saved,9bc15d5d352eaa4f,12,Wanshouxigong,test,24.66259091205815,12.62036375839366,0.9424993767964832,migrated_06_train_multistation_beijing,06_train_multistation.py,migration_pre_P3,2026-08-15T13:09:01,
beijing,Linear-Transformer,,distance,,,777,no_checkpoint_saved,9bc15d5d352eaa4f,12,__aggregate__,test,21.00789164130595,11.7925074740007,0.948524995314276,migrated_06_train_multistation_beijing,06_train_multistation.py,migration_pre_P3,2026-08-15T13:09:01,
beijing,GCN-Transformer,,distance,5,,42,no_checkpoint_saved,9bc15d5d352eaa4f,12,Aotizhongxin,test,22.772723868044423,12.77755933726137,0.9401777162981568,migrated_06_train_multistation_beijing,06_train_multistation.py,migration_pre_P3,2026-08-15T13:09:01,
beijing,GCN-Transformer,,distance,5,,42,no_checkpoint_saved,9bc15d5d352eaa4f,12,Changping,test,21.947403403859255,12.351762006963398,0.9260257142899846,migrated_06_train_multistation_beijing,06_train_multistation.py,migration_pre_P3,2026-08-15T13:09:01,
beijing,GCN-Transformer,,distance,5,,42,no_checkpoint_saved,9bc15d5d352eaa4f,12,Dingling,test,26.61422747072006,13.195314652871437,0.8797063975913609,migrated_06_train_multistation_beijing,06_train_multistation.py,migration_pre_P3,2026-08-15T13:09:01,
beijing,GCN-Transformer,,distance,5,,42,no_checkpoint_saved,9bc15d5d352eaa4f,12,Dongsi,test,25.61286512963439,14.765982522559788,0.9362766835948405,migrated_06_train_multistation_beijing,06_train_multistation.py,migration_pre_P3,2026-08-15T13:09:01,
beijing,GCN-Transformer,,distance,5,,42,no_checkpoint_saved,9bc15d5d352eaa4f,12,Guanyuan,test,25.089182790897933,13.268487786792221,0.9297186201510368,migrated_06_train_multistation_beijing,06_train_multistation.py,migration_pre_P3,2026-08-15T13:09:01,
beijing,GCN-Transformer,,distance,5,,42,no_checkpoint_saved,9bc15d5d352eaa4f,12,Gucheng,test,29.459562705250693,15.97186639937815,0.9132002257226085,migrated_06_train_multistation_beijing,06_train_multistation.py,migration_pre_P3,2026-08-15T13:09:01,
beijing,GCN-Transformer,,distance,5,,42,no_checkpoint_saved,9bc15d5d352eaa4f,12,Huairou,test,19.32069755847452,9.9175812862315,0.9361225679602594,migrated_06_train_multistation_beijing,06_train_multistation.py,migration_pre_P3,2026-08-15T13:09:01,
beijing,GCN-Transformer,,distance,5,,42,no_checkpoint_saved,9bc15d5d352eaa4f,12,Nongzhanguan,test,23.35036225992274,13.56301282572587,0.9439196561545917,migrated_06_train_multistation_beijing,06_train_multistation.py,migration_pre_P3,2026-08-15T13:09:01,
beijing,GCN-Transformer,,distance,5,,42,no_checkpoint_saved,9bc15d5d352eaa4f,12,Shunyi,test,20.489018417123685,11.775910733903237,0.949723821583976,migrated_06_train_multistation_beijing,06_train_multistation.py,migration_pre_P3,2026-08-15T13:09:01,
beijing,GCN-Transformer,,distance,5,,42,no_checkpoint_saved,9bc15d5d352eaa4f,12,Tiantan,test,22.449624343082455,12.659764872059476,0.9429219329897182,migrated_06_train_multistation_beijing,06_train_multistation.py,migration_pre_P3,2026-08-15T13:09:01,
beijing,GCN-Transformer,,distance,5,,42,no_checkpoint_saved,9bc15d5d352eaa4f,12,Wanliu,test,22.74012790463966,12.754276402727614,0.9373050256361,migrated_06_train_multistation_beijing,06_train_multistation.py,migration_pre_P3,2026-08-15T13:09:01,
beijing,GCN-Transformer,,distance,5,,42,no_checkpoint_saved,9bc15d5d352eaa4f,12,Wanshouxigong,test,27.07208147277929,13.942798339700696,0.9307151230398379,migrated_06_train_multistation_beijing,06_train_multistation.py,migration_pre_P3,2026-08-15T13:09:01,
beijing,GCN-Transformer,,distance,5,,42,no_checkpoint_saved,9bc15d5d352eaa4f,12,__aggregate__,test,24.073290270720307,13.07869309718123,0.9324069003581917,migrated_06_train_multistation_beijing,06_train_multistation.py,migration_pre_P3,2026-08-15T13:09:01,
beijing,GCN-Transformer,,distance,5,,123,no_checkpoint_saved,9bc15d5d352eaa4f,12,Aotizhongxin,test,22.562337462662377,12.551616639742704,0.941277949911235,migrated_06_train_multistation_beijing,06_train_multistation.py,migration_pre_P3,2026-08-15T13:09:01,
beijing,GCN-Transformer,,distance,5,,123,no_checkpoint_saved,9bc15d5d352eaa4f,12,Changping,test,22.310310282240284,12.55141531389587,0.9235591146576188,migrated_06_train_multistation_beijing,06_train_multistation.py,migration_pre_P3,2026-08-15T13:09:01,
beijing,GCN-Transformer,,distance,5,,123,no_checkpoint_saved,9bc15d5d352eaa4f,12,Dingling,test,26.77349268445132,13.582745624277974,0.8782623646317249,migrated_06_train_multistation_beijing,06_train_multistation.py,migration_pre_P3,2026-08-15T13:09:01,
beijing,GCN-Transformer,,distance,5,,123,no_checkpoint_saved,9bc15d5d352eaa4f,12,Dongsi,test,25.29587936086829,14.330471259722925,0.9378442075849861,migrated_06_train_multistation_beijing,06_train_multistation.py,migration_pre_P3,2026-08-15T13:09:01,
beijing,GCN-Transformer,,distance,5,,123,no_checkpoint_saved,9bc15d5d352eaa4f,12,Guanyuan,test,24.250027291789298,13.001084982691397,0.934341385884011,migrated_06_train_multistation_beijing,06_train_multistation.py,migration_pre_P3,2026-08-15T13:09:01,
beijing,GCN-Transformer,,distance,5,,123,no_checkpoint_saved,9bc15d5d352eaa4f,12,Gucheng,test,30.004518451149472,16.12458796038619,0.9099592039205256,migrated_06_train_multistation_beijing,06_train_multistation.py,migration_pre_P3,2026-08-15T13:09:01,
